"id","school.name","school.state","school.degrees_awarded.highest","school.institutional_characteristics.level","2013.earnings.6_yrs_after_entry.working_not_enrolled.overall","2013.completion.title_iv.completed_by.4yrs","2013.completion.completion_rate_4yr_100nt","2013.completion.transfer_rate.4yr.full_time","2013.aid.federal_loan_rate","2013.aid.median_debt.female_students","2013.aid.median_debt.male_students","2013.aid.cumulative_debt.number","2013.student.size"
"201751","Chatfield College","OH","2","2","110","0.129310345","","","0.7529","7132.0","6000.0","426","325"
"201803","Choffin Career  and Technical Center","OH","1","3","110","0.419354839","","","0.6828","","","159","154"
"198640","Halifax Community College","NC","2","2","430","0.105029586","","","0.2596","4500.0","4214.5","546","1197"
"199421","Randolph Community College","NC","2","2","465","0.01871345","","","0.0","","","","2783"
"199467","Roanoke-Chowan Community College","NC","2","2","241","0.12406015","","","0.0","3487.5","3775.0","106","881"
"198987","Mitchell Community College","NC","2","2","577","0.169811321","","","0.0","","","","2672"
"204714","Ohio State Beauty Academy","OH","1","2","138","0.461538462","","","0.7878","","","218","171"
"204723","Ohio State College of Barber Styling","OH","1","2","103","0.680851064","","","0.8893","","","133","142"
"204796","Ohio State University-Main Campus","OH","4","1","12303","0.522793405","0.5852","0.0","0.4587","14776.5","14382.0","19991","43139"
"207388","Oklahoma State University-Main Campus","OK","4","1","4638","0.493415523","0.3256","0.2173","0.4371","13777.0","12340.0","7673","20314"
"206613","Wright State University-Lake Campus","OH","3","1","3903","0.315445321","0.193","0.0","0.4149","12500.0","11830.5","8697","926"
"159416","Louisiana State University-Shreveport","LA","4","1","852","0.288100209","0.1466","0.0","0.3237","10500.0","9060.0","1629","2796"
"159009","Grambling State University","LA","4","1","1449","0.31512605","0.0709","0.0","0.8446","19000.0","17065.0","3145","4100"
"158440","Cameron College","LA","2","2","109","0.382550336","","","0.1981","","","95","23"
"158778","Demmons School of Beauty","LA","1","3","","","","","0.0","","","","58"
"158884","Nunez Community College","LA","2","2","334","0.141135973","","","0.0403","3500.0","2795.0","807","1675"
"157711","Somerset Community College","KY","2","2","2098","0.203746303","","","0.4519","7000.0","5500.0","4672","6037"
"159382","Louisiana State University-Alexandria","LA","3","1","843","0.219709208","0.0719","0.4343","0.371","7600.0","5846.5","1105","1984"
"157553","Big Sandy Community and Technical College","KY","2","2","1034","0.16618705","","","0.2813","5914.5","5225.0","2075","3283"
"157599","Brown Mackie College-Louisville","KY","3","1","1822","0.378853985","","0.0","0.7199","10211.0","9235.0","31694","1420"
"157216","Lindsey Wilson College","KY","4","1","693","0.35","0.1506","0.0","0.8083","13568.0","9500.0","1614","2127"
"157809","Thomas More College","KY","4","1","523","0.371764706","0.4177","0.0763","0.5357","21006.5","13100.0","830","1208"
"157632","Saint Catharine College","KY","4","1","264","0.369565217","0.1111","0.0","0.662","15000.0","12500.0","478","605"
"154952","Cowley County Community College","KS","2","2","1406","0.17936615","","","0.5632","4750.0","4000.5","3041","3395"
"154493","Upper Iowa University","IA","4","1","1937","0.249593055","0.2378","0.1951","0.7042","11000.0","11194.0","4264","4513"
"154642","Allen County Community College","KS","2","2","763","0.148888889","","","0.3266","4059.5","3500.0","1343","2852"
"154590","William Penn University","IA","4","1","947","0.312138728","0.1659","0.0","0.8033","14250.0","12320.0","1454","1558"
"154837","Central Baptist Theological Seminary","KS","4","1","","","","","","","","","82"
"154925","Coffeyville Community College","KS","2","2","577","0.21474359","","","0.2282","5500.0","4500.0","604","1273"
"154934","Colby Community College","KS","2","2","457","0.171270718","","","0.2975","6367.0","5500.0","589","815"
"154998","Dodge City Community College","KS","2","2","395","0.142523365","","","0.1298","5500.0","5450.0","403","1161"
"154527","Wartburg College","IA","3","1","624","0.643162393","0.5893","0.0","0.6875","24000.0","23187.0","873","1669"
"154749","Bethel College-North Newton","KS","3","1","192","0.192307692","0.3889","0.0","0.742","17625.0","12000.0","332","482"
"154165","Iowa School of Beauty-Ottumwa","IA","1","2","","0.52","","","0.66","","","80","63"
"154174","Palmer College of Chiropractic","IA","4","1","457","","0.6364","0.0","0.8542","9500.0","10211.5","123","39"
"156842","Paul Mitchell the School-Louisville","KY","1","2","70","0.45","","","0.592","","","278","247"
"157021","American National University-Lexington","KY","3","1","1771","0.256838201","0.0","0.0","0.7535","12961.0","9261.0","2089","1275"
"155627","Ottawa University-Ottawa","KS","4","1","1097","0.357072206","0.2174","0.0","0.7881","12077.0","11166.0","2764","533"
"156222","Asbury Theological Seminary","KY","4","1","119","","","","","","","",""
"156231","Ashland Community and Technical College","KY","2","2","1007","0.215283484","","","0.3656","6000.0","5500.0","2098","2525"
"155098","Fort Scott Community College","KS","2","2","664","0.183535763","","","0.4036","5500.0","5500.0","1176","1409"
"155353","Old Town Barber College-Wichita","KS","1","3","64","0.5","","","0.6462","","","67","40"
"155450","Labette Community College","KS","2","2","450","0.15158371","","","0.1409","5103.0","3500.0","437","1374"
"155900","Southwestern College","KS","4","1","567","0.49659864","0.4203","0.0","0.5406","16500.0","14400.0","872","1332"
"157030","Kentucky Mountain Bible College","KY","3","1","","","0.4444","0.0","0.3929","","","35","73"
"157076","Kentucky Wesleyan College","KY","3","1","429","0.343629344","0.2464","0.0","0.9071","14500.0","11250.0","466","652"
"155201","Independence Community College","KS","2","2","384","0.206812652","","","0.1201","3048.5","2750.0","326","678"
"156295","Berea College","KY","3","1","524","0.575242718","0.469","0.0","0.2262","5202.0","4508.0","359","1587"
"156338","Southcentral Kentucky Community and Technical College","KY","2","2","733","0.237656353","","","0.3391","7316.0","6200.0","2278","3122"
"162584","Frostburg State University","MD","4","1","1335","0.496425735","0.2204","0.3132","0.6128","15756.0","14250.0","2344","4575"
"163851","Salisbury University","MD","4","1","2055","0.621764706","0.4667","0.183","0.5213","14250.0","14000.0","3498","7767"
