"id","school.name","school.state","school.degrees_awarded.highest","school.institutional_characteristics.level","2013.earnings.6_yrs_after_entry.not_working_not_enrolled.overall","2013.earnings.6_yrs_after_entry.working_not_enrolled.overall","2013.completion.title_iv.completed_by.4yrs","2013.aid.median_debt.female_students","2013.aid.median_debt.male_students","2013.aid.cumulative_debt.number"
"417831","Union County Vocational Technical School","NJ","1","3","","89","0.291666667","","","28"
"413893","United Education Institute-Morrow","GA","1","3","","","","","",""
"413945","Toni & Guy Hairdressing Academy-Atlanta","GA","1","3","33","84","0.136842105","","","149"
"413972","Mitchell's Hair Styling Academy-Raleigh","NC","1","3","30","142","0.433526012","","","162"
"411754","Cleveland Clinic Health System-School of Diagnostic Imaging","OH","1","2","","","","","","29"
"412544","Shear Ego International School of Hair Design","NY","1","3","","59","0.139784946","","",""
"413343","Professional Beauty School","WA","1","3","","55","0.487804878","","","52"
"413617","College of Menominee Nation","WI","3","1","80","198","0.051546392","","",""
"416670","Tennessee Academy of Cosmetology-Stage Road","TN","1","3","36","98","0.438596491","","","217"
"416980","Carousel Beauty College-Kettering","OH","1","2","34","155","0.326388889","","","186"
"417327","City College-Altamonte Springs","FL","2","2","33","156","0.306896552","7155.0","8111.5","542"
"410520","Sage College","CA","2","2","38","208","0.150862069","14494.0","10009.0","426"
"414540","Jean Madeline Aveda Institute","PA","1","3","50","360","0.763837638","8028.0","11084.5","414"
"404684","Emma's Beauty Academy-Juana Diaz","PR","1","3","299","268","0.085034014","","",""
"404994","ASA College","NY","2","2","818","3055","0.345724907","9500.0","8000.0","4855"
"404383","Vatterott College-Kansas City","MO","2","2","1162","4487","0.49322938","11538.0","16500.0","7593"
"404374","Vatterott College-Joplin","MO","2","2","1162","4487","0.49322938","11538.0","16500.0","7593"
"383084","Hacienda La Puente Adult Education","CA","1","2","89","274","","","",""
"383899","Star Career Academy-Philadelphia","PA","1","3","79","297","0.579842137","8934.0","7916.0","3936"
"405012","Ohio State School of Cosmetology-Heath","OH","1","2","","130","0.64","","","202"
"405872","Carroll Community College","MD","2","2","39","273","0.21686747","3647.5","4716.0","121"
"402776","Southwest University of Visual Arts-Albuquerque","NM","3","1","52","238","0.096774194","31674.0","20000.0","77"
"406325","Schuyler Steuben Chemung Tioga Allegany BOCES","NY","1","3","","99","0.637037037","","","132"
"406422","Central Susquehanna Intermediate Unit LPN Career","PA","1","3","","107","","","","127"
"406486","Myotherapy College of Utah","UT","1","3","","79","0.732394366","8233.0","8233.0","91"
"403487","Wabash Valley College","IL","2","2","59","288","0.302752294","3500.0","3500.0","119"
"385619","Everglades University","FL","4","1","129","482","0.452006981","20000.0","22938.0","1045"
"397942","UEI College-Fresno","CA","1","3","287","698","0.767741936","9500.0","9500.0","1870"
"380359","Bay Mills Community College","MI","2","2","35","135","0.044642857","","",""
"380456","Paul Mitchell the School-Provo","UT","1","3","269","1084","0.47094536","9833.0","9833.0","1708"
"382461","Academy of Hair Design-Pearl","MS","1","2","","","0.428571429","","",""
"382780","Genesis Career College-Lebanon","TN","1","3","75","275","0.60738255","5801.0","8215.5","373"
"382957","Fortis College-Richmond","VA","2","2","83","515","0.632603406","9499.0","6896.0","1605"
"381282","CET-Oxnard","CA","1","3","899","3007","0.597858198","4750.0","5277.0","2848"
"381255","CET-Coachella","CA","1","3","899","3007","0.597858198","4750.0","5277.0","2848"
"377193","University of Cosmetology Arts & Sciences-San Antonio Jamar","TX","1","3","","57","0.3","","","41"
"377218","School of Automotive Machinists & Technology","TX","2","2","","62","0.814814815","","","111"
"377281","SW School of Business and Technical Careers","TX","1","3","","56","","","","48"
"377315","Texas College of Cosmetology-Abilene","TX","1","3","35","108","0.1875","","",""
"377759","Capstone College","CA","1","3","43","154","0.571428571","","","68"
"378105","Central Coast College","CA","1","3","40","262","0.747863248","5500.0","5482.0","305"
"381404","Ogle School Hair Skin Nails-Dallas","TX","1","3","110","465","0.574002574","7662.0","8323.0","1033"
"376242","Colegio Mayor de Tecnologia Inc","PR","1","3","250","389","0.039840638","","",""
"376446","Academy of Hair Technology","SC","1","3","28","132","0.563636364","","","107"
"379621","Madison Oneida BOCES-Practical Nursing Program","NY","1","3","","99","0.450549451","","","91"
"380067","Houston Training School-Main Campus","TX","1","3","202","612","","","",""
"375540","Toledo Academy of Beauty Culture-East","OH","1","2","","84","0.543859649","","","124"
"375692","Kiamichi Technology Center-Atoka","OK","1","3","224","592","0.071287129","","",""
"367103","Interactive College of Technology-Newport","KY","2","2","587","1900","0.118475992","3317.5","6782.5","574"
"366960","Brightwood College-Modesto","CA","2","2","558","1912","0.745700246","9377.0","9500.0","1280"
"367112","McCann School of Business & Technology","LA","2","2","98","690","0.413223141","7625.0","8753.5","1982"
"372329","IBMC College","CO","2","2","85","480","0.566860465","14536.0","13752.0","1366"
"372073","Fremont College","CA","3","1","37","139","0.653465347","15436.0","16301.0","465"
"367088","Tricoci University of Beauty Cuture LLC-Bloomington","IN","1","3","","","0.566666667","","","63"
"367097","Pinnacle Career Institute-Lawrence","KS","2","2","42","210","0.588235294","8185.5","10482.5","250"
"372356","Xenon International Academy-Denver","CO","1","2","","67","0.768518519","","","137"
"372462","Academy of Cosmetology","FL","1","3","48","84","0.708333333","","","271"
"373696","Rob Roy Academy-Worcester","MA","1","3","69","175","0.320833333","6812.0","6853.0","288"
"366261","Commonwealth Institute of Funeral Service","TX","2","2","","83","0.621359223","7312.5","9500.0","262"
"368771","Hypnosis Motivation Institute","CA","1","3","88","135","0.82962963","9500.0","9500.0","170"
"377546","Northwest College of Art & Design","WA","3","1","","54","0.475","22500.0","31000.0","57"
"377555","University of Washington-Bothell Campus","WA","4","1","839","7894","0.721619898","12500.0","12570.0","13418"
"420459","Northeast Technology Center-Afton","OK","1","3","47","185","0.145374449","","",""
"420556","Columbia Gorge Community College","OR","2","2","","","","7000.0","4240.5","340"
"421513","Brown Mackie College-Hopkinsville","KY","2","2","278","1822","0.378853985","10211.0","9235.0","31694"
"420866","Argosy University-Schaumburg","IL","4","1","560","2587","0.116635839","6569.0","6334.0","29626"
"421717","Vanguard-Sentinel Adult Career and Technology Center","OH","1","3","","","","","",""
"421771","House of Heavilin Beauty College-Raymore","MO","1","3","","52","0.45","","","78"
"425986","Mildred Elley-Pittsfield Campus","MA","1","3","155","635","0.473259334","8248.0","6613.0","2436"
"428073","Styles and Profiles Beauty College","TN","1","3","","","","","","28"
"428170","Southeastern College-West Palm Beach","FL","2","2","179","1043","0.519667171","12235.5","14284.5","1508"
"427919","CET-Durham","NC","1","3","899","3007","0.597858198","4750.0","5277.0","2848"
"421708","Arizona College-Glendale","AZ","2","2","104","323","0.566893424","9475.0","9388.0","1435"
